filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/fake_instances/fake_403_6.csv,403,2587.86,1922.11,0.658875,41.6811,2054.34,50.3658
input/fake_instances/fake_78_1.csv,78,1265.03,943.192,0.038583,1.29067,994.488,1.44458
input/fake_instances/fake_446_6.csv,446,3304.8,2196.17,0.780417,52.3088,2390.2,45.5452
input/fake_instances/fake_460_5.csv,460,3487.1,2259.2,0.784416,48.5739,2518.44,51.5039
input/fake_instances/fake_398_9.csv,398,3613.14,2578.07,0.667834,41.6887,2828.01,38.6804
input/fake_instances/fake_289_4.csv,289,2149.61,1589.43,0.364125,19.291,1710.7,22.5466
input/fake_instances/fake_195_1.csv,195,1797.37,1267.49,0.177042,7.57429,1401.67,8.38283
input/fake_instances/fake_425_5.csv,425,3098.55,2045.43,0.763333,49.4081,2234.5,44.973
input/fake_instances/fake_308_5.csv,308,2768.05,1898.21,0.424417,24.6613,2067.25,22.5003
input/fake_instances/fake_219_8.csv,219,2062.14,1544.93,0.220041,9.59892,1704.75,12.3188
input/fake_instances/fake_130_4.csv,130,1789.42,1297.08,0.091833,3.49246,1421.56,3.57033
input/fake_instances/fake_269_1.csv,269,2340.81,1665.12,0.339666,16.4084,1794.87,16.3635
input/fake_instances/fake_175_4.csv,175,1634.79,1174.48,0.141584,7.76533,1276.14,6.79713
input/fake_instances/fake_480_0.csv,480,3785.88,2638.68,0.905209,55.7638,2902.17,60.0423
input/fake_instances/fake_98_4.csv,98,1358.35,922.225,0.05225,1.83883,1005.43,2.35263
input/fake_instances/fake_153_7.csv,153,1801.93,1258.86,0.119375,5.41842,1409.76,5.51471
input/fake_instances/fake_116_7.csv,116,1460.7,1025.9,0.074458,3.23971,1089.53,2.70017
input/fake_instances/fake_20_4.csv,20,298.788,258.225,0.004875,0.098208,264.101,0.105875
input/fake_instances/fake_396_6.csv,396,3093.67,2027.73,0.677584,32.8046,2239.74,36.0375
input/fake_instances/fake_65_4.csv,65,989.666,787.586,0.028334,1.07108,828.272,0.88375
input/fake_instances/fake_294_1.csv,294,3908.59,2585.88,0.411542,26.4955,2893.58,23.2858
input/fake_instances/fake_188_4.csv,188,1697.56,1241,0.157333,7.57067,1360.15,9.50892
input/fake_instances/fake_448_9.csv,448,3620.29,2422.07,0.802166,65.977,2633.87,60.2313
input/fake_instances/fake_43_7.csv,43,833.151,642.1,0.014958,0.498958,682.804,0.429
input/fake_instances/fake_438_0.csv,438,3414.93,2114.42,0.772667,43.4216,2293.97,47.7668
input/fake_instances/fake_320_9.csv,320,2801.39,1859.57,0.459333,22.6147,2024.25,28.8173
input/fake_instances/fake_231_4.csv,231,2143.87,1495.07,0.250291,10.9476,1645.3,14.8398
input/fake_instances/fake_118_8.csv,118,1413.02,1065.5,0.073583,5.75367,1150.97,25.635
input/fake_instances/fake_315_0.csv,315,2877.85,2018.02,0.443375,23.54,2214.19,27.6256
input/fake_instances/fake_365_9.csv,365,2773.74,1854.02,0.553625,26.6259,2020.12,30.3083
input/fake_instances/fake_274_4.csv,274,2613.26,1867.89,0.344375,16.0526,2118.66,18.0878
input/fake_instances/fake_168_1.csv,168,2689.99,1882.81,0.148459,6.46458,2051.32,7.39817
input/fake_instances/fake_350_0.csv,350,2903.29,1934.99,0.523708,26.6349,2092.73,31.4388
input/fake_instances/fake_252_7.csv,252,2111.68,1454.66,0.278958,14.2807,1569.03,16.6889
input/fake_instances/fake_85_1.csv,85,1208.56,844.258,0.042167,1.93296,901.808,1.56625
input/fake_instances/fake_376_3.csv,376,3494.79,2271.04,0.609375,33.9306,2506.87,31.781
input/fake_instances/fake_217_7.csv,217,2126.11,1404.14,0.226625,13.5973,1504.44,11.0369
input/fake_instances/fake_333_3.csv,333,3957.68,2919.85,0.532,26.2639,3170.93,27.0215
input/fake_instances/fake_444_4.csv,444,2834.98,1971.83,0.787917,43.0878,2176.96,42.4297
input/fake_instances/fake_389_1.csv,389,3250.88,2271.26,0.620667,37.4443,2462.95,34.376
input/fake_instances/fake_184_9.csv,184,2114.88,1425.17,0.164042,7.77317,1547.5,8.04542
input/fake_instances/fake_401_4.csv,401,3255.69,2104.8,0.672792,42.584,2300.93,43.7158
input/fake_instances/fake_427_7.csv,427,3071.75,2044.79,0.715416,46.2758,2242.36,48.9442
input/fake_instances/fake_19_0.csv,19,514.944,406.901,0.004542,0.110791,439.204,0.120209
input/fake_instances/fake_197_3.csv,197,2151.77,1521.3,0.194,8.69937,1640.38,9.05612
input/fake_instances/fake_69_9.csv,69,1153.95,800.441,0.029791,1.46783,911.205,0.999708
input/fake_instances/fake_462_7.csv,462,3568.54,2387.05,0.829791,47.3707,2609.85,57.1795
input/fake_instances/fake_482_2.csv,482,4206.97,2984.91,0.909958,64.6474,3225.12,73.9153
input/fake_instances/fake_177_6.csv,177,1854.19,1359,0.155333,6.68333,1471.4,8.38612
input/fake_instances/fake_132_6.csv,132,1697.8,1220,0.102542,3.75504,1298.4,3.50046
input/fake_instances/fake_208_0.csv,208,2494.34,1664.32,0.219708,8.82875,1819.94,10.1377
input/fake_instances/fake_114_5.csv,114,1135.23,887.088,0.066375,2.72771,990.56,2.91004
input/fake_instances/fake_151_5.csv,151,1807.49,1335.21,0.118416,4.73275,1454.17,5.78587
input/fake_instances/fake_278_9.csv,278,2789.46,1728.15,0.347417,16.6677,1902.19,21.3358
input/fake_instances/fake_369_4.csv,369,3494.89,2371.19,0.65,34.6735,2594.63,35.833
input/fake_instances/fake_491_8.csv,491,3643.1,2476.69,0.913208,57.7776,2696.87,60.9735
input/fake_instances/fake_67_6.csv,67,1262.43,909.668,0.029875,1.00725,939.663,0.991583
input/fake_instances/fake_285_9.csv,285,2849.7,1904.52,0.394459,18.6819,2123.47,20.7921
input/fake_instances/fake_394_4.csv,394,3095.32,2064.24,0.632834,40.3606,2286.09,40.5902
