n,avg_priority_ratio,avg_min_cost_flow_ratio
403,22.8667,30.7885
78,43.0615,53.2163
446,26.2281,40.1998
460,22.7116,42.9153
398,37.8429,89.5792
289,50.0995,72.9648
195,38.6078,51.2229
425,16.7387,28.6763
308,28.2493,47.3715
219,303.659,768.21
130,35.7699,49.0814
269,50.9915,93.0247
175,22.7109,28.5416
480,25.6758,49.6922
98,117.246,210.341
153,78.1325,88.6634
116,27.6351,37.5544
20,29.1554,29.4734
396,37.8275,57.4739
65,45.9684,63.8711
294,33.6985,51.4052
188,37.4006,50.6491
448,29.2668,55.9809
43,48.0031,55.2939
438,35.438,93.963
320,26.8545,38.4396
231,31.155,43.8232
118,29.135,44.7618
315,33.8764,71.0336
365,33.9162,49.2493
274,32.4615,53.6169
168,24.6285,38.2445
350,27.9884,39.4317
252,169.02,174.292
85,57.6127,61.757
376,20.9368,42.4496
217,21.2005,24.6389
333,25.1676,44.9421
444,16.6194,25.3704
389,23.0105,61.2697
184,56.0867,157.319
401,30.4823,58.146
427,494.349,502.027
19,169.415,181.437
197,31.4303,42.8758
69,46.2232,102.162
462,37.0051,52.0171
482,32.1937,63.2745
177,22.6693,29.9444
132,29.6864,47.6933
208,60.0205,109.482
114,42.7841,71.5511
151,91.0755,104.749
278,25.6744,38.8335
369,41.8503,159.189
491,15.9109,22.0898
67,44.8755,65.1203
285,51.5997,161.994
394,25.6956,40.8605
459,20.2271,32.541
22,63.9739,73.6244
429,39.2933,67.3823
41,363.017,914.719
296,32.947,66.6997
352,36.4705,44.0248
276,44.8307,85.1509
94,40.6596,48.1368
317,33.7575,42.3531
233,25.9147,52.1565
331,34.2654,58.6246
215,39.6254,78.8822
109,47.0995,73.3427
304,4630.79,4777.72
374,21.7426,36.7439
179,25.3009,31.4496
87,1569.54,1588.04
250,30.1895,36.6633
341,26.1449,35.879
421,36.4547,55.9946
414,37.9426,51.5502
191,22.3982,28.5807
464,53.6685,81.111
451,51.9671,123.417
442,223.229,338.782
407,14.4339,20.629
39,57.0452,67.8087
112,52.7388,75.1116
9,129.66,194.55
157,37.0853,105.279
484,51.6782,79.7621
171,28.0598,36.4838
144,23.1475,32.4111
349,50.6164,125.863
339,19.8221,30.4134
134,24.9317,34.4477
228,100.119,306.082
