filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/small_0.csv,10,36.9,29.3,0.003834,1.27821,30,0.072542
input/small_1.csv,10,42.4,32.4,0.003625,0.066792,33,0.051625
input/small_2.csv,10,65.6,56.9,0.003375,0.080667,62.7,0.074875
input/small_3.csv,10,29.5,23.7,0.004042,0.082041,24.4,0.074625
input/small_4.csv,10,33.9,30.8,0.00375,0.085584,32.2,0.069042
input/small_5.csv,10,63.6,54.4,0.003625,0.079208,56.4,0.060916
input/small_6.csv,10,44.9,41,0.003458,0.063666,44.2,0.064375
input/small_7.csv,10,56.3,46.9,0.003666,0.083459,56.5,0.118792
input/small_8.csv,10,38.1,35.5,0.00375,0.075542,37.7,0.056042
input/small_9.csv,10,58.1,49.7,0.00375,0.073541,50.5,0.0595
input/medium_0.csv,100,408.7,329.5,0.098834,3.87396,355.2,5.06929
input/medium_1.csv,100,380,344.2,0.084959,3.10067,376.6,3.31433
input/medium_2.csv,100,307.7,241.5,0.069083,2.47554,282.8,3.98183
input/medium_3.csv,100,380.1,317.4,0.066958,2.70525,350.3,2.45721
input/medium_4.csv,100,279.2,234.8,0.066958,2.15792,261.7,2.14517
input/medium_5.csv,100,398.5,341.7,0.068125,2.49071,365.8,3.86996
input/medium_6.csv,100,323.1,250.9,0.061292,2.79125,273.4,4.52029
input/medium_7.csv,100,325.5,260,0.061917,2.35271,294.2,2.34112
input/medium_8.csv,100,271.3,227.6,0.066834,2.51342,246.4,2.21508
input/medium_9.csv,100,299,258.7,0.063292,2.49983,275.4,2.48554
input/large_0.csv,250,917.9,706.5,0.378458,16.8345,746.2,22.94
input/large_1.csv,250,988.2,773.9,0.378584,17.164,869.7,21.7605
input/large_2.csv,250,736.9,599.5,0.356917,19.1702,664.3,20.5625
input/large_3.csv,250,844.5,730.9,0.38375,15.0563,783.6,22.6116
input/large_4.csv,250,844.2,727,0.395084,16.8575,757.6,14.6615
input/large_5.csv,250,795.7,635.6,0.379333,14.7716,688.1,15.2896
input/large_6.csv,250,793.7,676.1,0.356458,17.5813,719.1,14.2263
input/large_7.csv,250,867.8,681.7,0.377334,18.5054,729.4,20.7114
input/large_8.csv,250,944.9,825.7,0.405959,18.0932,897.8,23.7689
input/large_9.csv,250,762.2,659.1,0.394084,18.8461,697.9,21.9595
input/xl_0.csv,500,1655.3,1371.2,1.34733,79.627,1458.9,102.91
input/xl_1.csv,500,1605.1,1412.8,1.36525,66.2405,1493.7,94.5118
input/xl_2.csv,500,1486.9,1270.6,1.28933,73.3753,1357.5,92.8878
input/xl_3.csv,500,1390.2,1174.4,1.20446,80.4907,1270.6,101.994
input/xl_4.csv,500,1467,1291.7,1.28992,66.5971,1371.7,98.2308
input/xl_5.csv,500,1441.5,1255.4,1.28638,67.054,1340.3,101.083
input/xl_6.csv,500,1737.4,1521.8,1.36921,80.1462,1627.8,100.664
input/xl_7.csv,500,1705.1,1417.4,1.82696,98.6135,1499.5,137.926
input/xl_8.csv,500,1512.7,1243.5,1.77225,77.7591,1334.9,87.9024
input/xl_9.csv,500,1531.7,1309.4,1.34763,80.5488,1385.4,96.7716
