n,avg_priority_ratio,avg_min_cost_flow_ratio,avg_greedy_ratio
10,112.025,155.609,233.605
10,60.4664,86.0936,141.662
10,264.085,294.788,345.319
10,92.927,158.193,174.853
10,91.5424,152.464,136.098
10,181.897,212.53,277.13
10,128.599,234.344,321.365
10,92.3929,117.685,108.345
10,148.949,214.046,257.545
10,229.594,373.98,309.314
100,80.7567,181.023,255.994
100,96.1421,192.328,213.852
100,62.0688,148.467,158.377
100,83.8331,183.517,203.977
100,67.5123,141.003,212.171
100,80.1731,154.73,361.022
100,65.2692,120.838,149.051
100,72.4299,147.787,131.414
100,60.0121,110.435,142.685
100,75.9463,147.619,188.482
250,70.7217,217.302,433.235
250,68.904,156.999,194.02
250,51.5512,127.265,166.41
250,65.2079,160.447,162.066
250,68.2377,161.473,174.334
250,51.4139,141.413,167.626
250,59.0549,129.195,181.105
250,57.4943,146.243,196.284
250,73.2047,170.499,185.456
250,59.3759,127.771,159.902
500,58.3788,135.165,194.226
500,57.8063,139.894,177.676
500,53.3149,177.533,152.794
500,44.1901,132.629,137.324
500,50.6892,140.354,165.029
500,50.7045,139.42,148.933
500,65.2319,155.813,161.784
500,68.6541,187.892,184.081
500,51.2736,140.953,149.702
500,47.2928,141.485,161.338
